easy,medium,hard,uniform,independent
0.4018400000000639,0.251975,0.09861000000001556,0.2492776491539943,0.16639212423171276
0.7999999999997106,0.5,0.19999999999992765,0.4987002679563433,0.3344206473339744
0.88287999999972,0.6264,0.27839999999991827,0.5818112188529677,0.41737364476331307
0.9334399999997035,0.730375,0.3530599999999307,0.6496793285395311,0.48611764036163985
0.9545199999996976,0.808475,0.42274999999996554,0.7000515956413489,0.5502823418366254
0.9835999999996886,0.900975,0.49586000000000513,0.757744216494374,0.6153036458312278
1.0129599999996883,0.9922,0.5700000000000072,0.8152285155132433,0.6814602539263538
1.276119999999638,1.204325,0.6604499999999529,0.9799458601812056,0.7893852070719805
1.347839999999646,1.3022,0.7311299999999619,1.0500013176335403,0.8518051845200545
1.395399999999639,1.368725,0.7968499999999595,1.103502420107551,0.9099252966689022
1.751279999999551,1.4692,0.8629499999999538,1.3161063572147123,1.0370613107214093
1.7936399999995865,1.536325,0.9285799999999521,1.3683589708177626,1.1072193273580027
1.8016799999995827,1.58865,0.9914499999999583,1.4060813113069257,1.1536892880484522
1.809679999999583,1.650025,1.0569499999999605,1.4447680431390848,1.2109368285136013
1.8205999999995817,1.72375,1.124359999999967,1.4897024554467182,1.257494481451509
1.8315199999995857,1.789525,1.1887499999999647,1.5318986509893193,1.308386135355242
1.8435599999995897,1.850525,1.2506599999999568,1.5731909040123908,1.349986206583833
1.8867999999995555,1.939275,1.3134499999999587,1.6312298420917184,1.4034883240619946
1.904799999999559,2.00375,1.3736399999999598,1.6727078435748841,1.4480751345565581
1.9209999999995602,2.06265,1.4338099999999687,1.7138568376048555,1.495515919509235
1.9376399999995668,2.104975,1.4861699999999678,1.746797345564293,1.5280523329035383
1.9616399999995753,2.14785,1.5366399999999556,1.782605842193837,1.5703603240457646
2.137319999999736,2.234925,1.5930599999999597,1.866401687496705,1.6423259066511986
2.178039999999748,2.287075,1.6518399999999478,1.9083777657391252,1.690012340574922
2.2059599999997817,2.3432,1.7086899999999696,1.9488422174354902,1.7307530359125318
2.2336399999998053,2.390675,1.7656199999999833,1.9855758844403877,1.7819316817066793
2.2695999999998113,2.434,1.8207699999999938,2.024963772066709,1.8321898024785275
2.466360000000185,2.48855,1.8784499999999709,2.1084856911463707,1.8933406784630722
2.509920000000182,2.562225,1.9367099999999828,2.159414695591837,1.9434710938903528
2.5298400000002075,2.6104,1.9889900000000056,2.194443354616951,1.9811451895650396
2.5479600000002267,2.65845,2.0413400000000084,2.2280046305986487,2.0230348398050673
2.664400000000475,2.70375,2.093529999999995,2.3123452417856267,2.0762528258167836
2.68392000000046,2.744475,2.14467999999999,2.347185105523059,2.1137524375860326
2.6941600000004704,2.785825,2.1958600000000046,2.3787783286054984,2.1485994022499004
2.7038400000004774,2.82775,2.248520000000008,2.411263290653235,2.1842346693371697
2.742000000000543,2.87365,2.3009500000000167,2.5007751866219103,2.2400419976580688
2.7526000000005406,2.90805,2.3483300000000327,2.5271826840968767,2.274621271652355
2.7589200000005385,2.945475,2.3968800000000265,2.556226943197727,2.312063751339316
2.766360000000539,2.98245,2.4455200000000348,2.5856236609886944,2.346440974082067
2.7733200000005347,3.0173,2.4950200000000544,2.6145682245288073,2.382280550636522
2.8171600000005848,3.057725,2.5420400000000205,2.6513115050200025,2.4171244535332423
2.829080000000588,3.09765,2.590270000000008,2.678503077417821,2.4531568627931812
2.843680000000594,3.13465,2.6405600000000042,2.70730238740524,2.4898012698150582
2.853640000000588,3.17055,2.6900599999999995,2.7343526418069932,2.522853506381803
2.8628000000005884,3.203025,2.734870000000022,2.759308525088077,2.5564548470671857
2.8715200000005887,3.236825,2.781780000000007,2.7853536104838064,2.5866895012938835
2.8808800000005848,3.271625,2.828189999999989,2.8108391586910044,2.6187954969641583
2.924760000000617,3.314775,2.873459999999989,2.847897907667568,2.6615454676453365
2.981760000000499,3.3619,2.91787000000002,2.8936513243706936,2.704002621008692
2.996720000000489,3.398625,2.9632599999999982,2.9225585727676586,2.7373019854495584
3.009400000000472,3.435375,3.0119199999999977,2.9500719643281217,2.768980412014356
3.0223200000004553,3.46725,3.055799999999992,2.9753482537538787,2.7990109574296276
3.04996000000046,3.4995,3.101399999999995,3.007673984446721,2.835457039251475
3.0636400000004387,3.527675,3.1461199999999874,3.032815993023464,2.867462542218292
3.0755600000004173,3.5565,3.188059999999975,3.0568550262112084,2.894957619405478
3.0908000000004034,3.589925,3.232449999999984,3.0829362455211746,2.9277890280861087
3.104080000000379,3.623675,3.2778400000000025,3.1080937744117443,2.955872186444812
3.2108400000000996,3.6576,3.3218299999999954,3.1507283612424697,2.990770784537766
3.2384400000000872,3.6853,3.3640299999999725,3.1779820537614123,3.0234744706011556
3.2544800000000587,3.712125,3.404479999999971,3.200793995128836,3.0524382976315687
3.2678400000000325,3.73505,3.44579999999998,3.222644168454444,3.0786784444966835
3.281999999999998,3.7588,3.4866499999999716,3.2444693007236283,3.1061176331471847
3.2951999999999613,3.784375,3.5262399999999623,3.2683238359519398,3.1366614395076264
3.317959999999895,3.813125,3.5658299999999783,3.2938314555954786,3.1661750073688175
3.3476799999998743,3.847625,3.6087100000000047,3.324477950043434,3.198967827825077
3.459439999999528,3.87895,3.649710000000019,3.3694432356871693,3.2337076388647525
3.4814399999995165,3.9076,3.6885200000000014,3.392720502752976,3.2601971623126427
3.494239999999501,3.936275,3.7303500000000067,3.4163101621152325,3.28781591759096
3.5053199999994837,3.96485,3.7702700000000076,3.4393004186094096,3.3146975776741483
3.5175199999994633,3.994375,3.807640000000007,3.4605708945556093,3.3417406001658536
3.5289999999994506,4.024975,3.8463200000000075,3.4841923878197116,3.3694423035672
3.598319999999284,4.05735,3.8875199999999865,3.528810896257231,3.4021132620758463
3.61371999999928,4.08215,3.925560000000025,3.551971571557364,3.43078210542358
3.6291999999992606,4.103325,3.9613100000000236,3.5740842923278446,3.457459127110335
3.637999999999252,4.125825,3.9993800000000133,3.59486816533065,3.4838246006643065
3.645479999999246,4.151875,4.03866000000001,3.615249428106177,3.510707771800588
3.6759199999991923,4.17445,4.074570000000021,3.6536222695579266,3.540316114094664
3.684079999999197,4.1975,4.110780000000028,3.6745539119721697,3.5675196291731894
3.6903999999991997,4.223,4.149019999999998,3.6956149332578403,3.5942100532579424
3.7247199999992504,4.247375,4.187010000000002,3.722114145093528,3.6221901723167167
3.7334799999992487,4.272875,4.2217400000000245,3.7423413696551036,3.646905977507922
3.743799999999247,4.301475,4.258640000000044,3.763705007475797,3.6734623227068908
3.754959999999239,4.328475,4.297250000000034,3.8063694212389243,3.7032483658484816
3.7601599999992423,4.352825,4.332650000000033,3.8265845505305647,3.729201476006725
3.765199999999249,4.376225,4.365750000000026,3.8452671414494626,3.753026474777748
3.769919999999254,4.4003,4.402030000000036,3.8649424269902477,3.7777257849364236
3.7755999999992578,4.4244,4.437610000000039,3.907584288844307,3.8065093015752383
3.7808399999992623,4.44955,4.471190000000036,3.9285487801650283,3.8306237570374004
3.7875599999992664,4.4709,4.506480000000024,3.9488523929967903,3.8551793949891215
3.821599999999314,4.493775,4.542330000000016,3.972040318798506,3.882206959629339
3.829079999999312,4.517675,4.576620000000018,3.990588099344446,3.906419696809534
3.838119999999312,4.54355,4.610840000000015,4.0345540055085705,3.936795083588706
3.842959999999316,4.5635,4.645620000000003,4.053222418794401,3.9594393445833913
3.848559999999323,4.581825,4.679910000000012,4.071385602247041,3.9822701229976447
3.853919999999331,4.6016,4.712900000000013,4.088595048779993,4.005509922464281
3.8596399999993336,4.623675,4.747060000000024,4.10690839143331,4.029126292208957
3.864879999999335,4.6468,4.781240000000026,4.126148519044132,4.053185219610348
3.8709199999993418,4.669875,4.8142800000000125,4.144941278936394,4.075856077158441
3.8921599999993743,4.692075,4.84736000000002,4.167345520496082,4.1007197133284246
3.9184799999994144,4.71425,4.880839999999996,4.193044385209046,4.127338093942069
